dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
bank,tree,7,3,in_domain,r2_realistic,utility_router,3,0.25,0.7001699379672388,1.9150836184654894,0.475
bank,tree,7,3,in_domain,r2_realistic,utility_router_guarded,3,0.25,0.7001699379672388,1.9150836184654894,0.475
bank,tree,7,3,in_domain,r2_realistic,utility_router_no_geometry,3,0.25,1.5880906063884073,2.584161311367987,0.4
bank,tree,7,3,in_domain,r2_realistic,utility_router_no_shift,3,0.25,0.7001699379672388,1.9150836184654894,0.475
bank,tree,13,3,covariate_shift,r2_realistic,cascade_exact_auto,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,exact_tree_milp,3,1.0,2.9601854301120056e-08,997.5007495262594,0.9230769230769231
bank,tree,13,3,covariate_shift,r2_realistic,fixed_blend,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,fixed_blend_no_repair,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,knn_mean_k5,3,0.0,5.515048954396008,5.5633624897439145,
bank,tree,13,3,covariate_shift,r2_realistic,learned_alpha,3,0.0,0.011777839531559642,0.023018616566983948,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,learned_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,learned_router_no_geometry,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,learned_router_no_shift,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,nn_positive_train,3,0.9230769230769231,5.247877477812041,921.9981135212539,
bank,tree,13,3,covariate_shift,r2_realistic,projection_only,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,rule_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,safe_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,utility_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_guarded,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_no_geometry,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_no_shift,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,exact_tree_milp,3,1.0,1.088535173110472e-08,997.526421982959,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,knn_mean_k5,3,0.0,3.6052543552101266,3.738034444275163,
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_alpha,3,0.0,0.03660608888921463,0.06176299083681852,0.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,nn_positive_train,3,1.0,5.68976772575155,996.1196801381682,
bank,tree,13,3,exemplar_mismatch,r2_realistic,projection_only,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,rule_router,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,safe_router,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_guarded,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,3,0.0,0.0,0.0,0.25
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,3,0.0,0.0,0.0,0.25
bank,tree,13,3,in_domain,r2_realistic,cascade_exact_auto,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,exact_tree_milp,3,1.0,1.088535173110472e-08,997.526421982959,0.9230769230769231
bank,tree,13,3,in_domain,r2_realistic,fixed_blend,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,fixed_blend_no_repair,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,knn_mean_k5,3,0.0,5.112220104191508,5.159054187127659,
bank,tree,13,3,in_domain,r2_realistic,learned_alpha,3,0.0,0.016033233187143447,0.0238348594510043,0.0
bank,tree,13,3,in_domain,r2_realistic,learned_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,learned_router_no_geometry,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,learned_router_no_shift,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,nn_positive_train,3,0.9230769230769231,5.778541342794744,920.6728555998693,
bank,tree,13,3,in_domain,r2_realistic,projection_only,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,rule_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,safe_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,utility_router,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,utility_router_guarded,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,utility_router_no_geometry,3,0.0,0.0,0.0,0.07692307692307693
bank,tree,13,3,in_domain,r2_realistic,utility_router_no_shift,3,0.0,0.0,0.0,0.07692307692307693
compas,tree,7,3,covariate_shift,r2_realistic,cascade_exact_auto,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,exact_tree_milp,3,0.6,2.5648141015503376,599.3554998433049,0.2
compas,tree,7,3,covariate_shift,r2_realistic,fixed_blend,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,knn_mean_k5,3,0.0,2.7860524956998063,1.5689871825866761,
compas,tree,7,3,covariate_shift,r2_realistic,learned_alpha,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,learned_router,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,learned_router_no_shift,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,nn_positive_train,3,0.19999999999999996,2.8646682583840444,201.72607753005553,
compas,tree,7,3,covariate_shift,r2_realistic,projection_only,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,rule_router,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,safe_router,3,0.4,0.24426800571382046,0.47351421118170844,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,utility_router,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,utility_router_guarded,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,covariate_shift,r2_realistic,utility_router_no_shift,3,0.0,1.1236328361389072,0.0,0.19999999999999996
compas,tree,7,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,exact_tree_milp,4,1.0,2.564814083560213,999.5087413299144,0.1111111111111111
compas,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,4,0.0,2.0093683110873037,1.6512477304180828,
compas,tree,7,3,exemplar_mismatch,r2_realistic,learned_alpha,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,learned_router,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,4,0.11111111111111116,3.058992724779158,113.10655901417705,
compas,tree,7,3,exemplar_mismatch,r2_realistic,projection_only,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,rule_router,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,safe_router,4,0.2222222222222222,0.7816576298787348,0.29486117344127905,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,utility_router,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_guarded,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,4,0.0,1.031353815429725,0.0,0.11111111111111116
compas,tree,7,3,in_domain,r2_realistic,cascade_exact_auto,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,exact_tree_milp,4,1.0,2.564814083560213,999.5087413299144,0.2
compas,tree,7,3,in_domain,r2_realistic,fixed_blend,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,fixed_blend_no_repair,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,knn_mean_k5,4,0.0,1.4821175118909133,1.2738525632390247,
compas,tree,7,3,in_domain,r2_realistic,learned_alpha,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,learned_router,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,learned_router_no_geometry,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,learned_router_no_shift,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,nn_positive_train,4,0.19999999999999996,2.440250869720396,200.2033669903575,
compas,tree,7,3,in_domain,r2_realistic,projection_only,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,rule_router,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,safe_router,4,0.2222222222222222,0.7816576298787348,0.29486117344127905,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,utility_router,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,utility_router_guarded,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,utility_router_no_geometry,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,7,3,in_domain,r2_realistic,utility_router_no_shift,4,0.0,1.031353815429725,0.0,0.19999999999999996
compas,tree,13,3,covariate_shift,r2_realistic,cascade_exact_auto,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,exact_tree_milp,2,0.0,0.7230504804692548,3.071180740277235e-09,0.75
compas,tree,13,3,covariate_shift,r2_realistic,fixed_blend,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,2.3622242119631576,1.5036952785293658,
compas,tree,13,3,covariate_shift,r2_realistic,learned_alpha,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,learned_router,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,nn_positive_train,2,0.75,2.01289027760843,751.1053066854406,
compas,tree,13,3,covariate_shift,r2_realistic,projection_only,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,rule_router,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,safe_router,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,utility_router,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,utility_router_guarded,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,covariate_shift,r2_realistic,utility_router_no_shift,2,0.0,0.7230504773383397,0.0,0.75
compas,tree,13,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,exact_tree_milp,3,0.0,0.6541885100211445,1.814904883323809e-08,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,knn_mean_k5,3,0.0,1.014944642580041,0.33865081197770364,
compas,tree,13,3,exemplar_mismatch,r2_realistic,learned_alpha,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,learned_router,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,nn_positive_train,3,0.5,1.2906844713690593,498.23181625921694,
compas,tree,13,3,exemplar_mismatch,r2_realistic,projection_only,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,rule_router,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,safe_router,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,utility_router,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_guarded,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,3,0.0,0.6541885271156406,0.0,0.5
compas,tree,13,3,in_domain,r2_realistic,cascade_exact_auto,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,exact_tree_milp,3,0.0,0.6541885100211445,1.814904883323809e-08,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,fixed_blend,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,fixed_blend_no_repair,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,knn_mean_k5,3,0.0,1.230183128530576,1.7128985132439793,
compas,tree,13,3,in_domain,r2_realistic,learned_alpha,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,learned_router,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,learned_router_no_geometry,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,learned_router_no_shift,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,nn_positive_train,3,0.5714285714285714,1.1099218520344742,571.8342476412216,
compas,tree,13,3,in_domain,r2_realistic,projection_only,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,rule_router,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,safe_router,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,utility_router,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,utility_router_guarded,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,utility_router_no_geometry,3,0.0,0.6541885271156406,0.0,0.5714285714285714
compas,tree,13,3,in_domain,r2_realistic,utility_router_no_shift,3,0.0,0.6541885271156406,0.0,0.5714285714285714
